ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12585,"중흥","중흥동",29170,A10027860,"중흥영무예다음아파트",1984,2015,31,309,"광주광역시 북구 중흥동 252 중흥영무예다음아파트",검토필요,
10221,"충무","권곡동",44200,A33671202,"아산충무서해그랑블2차",1979,2009,30,537,"충청남도 아산시 권곡동 96-1 아산충무서해그랑블2차",검토필요,
11447,"옥계","옥계동",30140,A73077107,"옥계현진에버빌엠파이어",1979,2009,30,1378,"경상북도 구미시 옥계동 909 옥계현진에버빌엠파이어",검토필요,
12492,"한양","금암동",52113,A10026049,"계룡한양아이클래스",1985,2015,30,209,"충청남도 계룡시 금암동 163-3 계룡한양아이클래스",검토필요,
10507,"모아","신안동",29170,A10024765,"신안동 모아엘가 더스카이",1991,2020,29,199,"광주광역시 북구 신안동 821 신안동 모아엘가 더스카이",검토필요,
12868,"대성","대성동",43111,A10027700,"목포 대성 LH천년나무 아파트",1986,2015,29,1391,"전라남도 목포시 대성동 222 목포 대성 LH천년나무 아파트",검토필요,
8919,"동원","가야동",26230,A61479503,"가야동원로얄듀크",1985,2013,28,298,"부산광역시 부산진구 가야동 128-1 가야동원로얄듀크",검토필요,
12012,"동남","연동",50110,A10025065,"제주연동남해오네뜨",1991,2019,28,216,"제주특별자치도 제주시 연동 300-3 제주연동남해오네뜨",검토필요,
12047,"장림","장림동",26380,A60474002,"장림동원로얄듀크",1978,2005,27,1973,"부산광역시 사하구 장림동 875 장림동원로얄듀크",검토필요,
12338,"원곡","원곡면 외가천리",41550,A10026108,"안성원곡제일오투그란데",1991,2018,27,797,"경기도 안성시 원곡면 외가천리 228-12 안성원곡제일오투그란데",검토필요,
6616,"남양","호평동",41360,A47278815,"남양주호평6단지",1984,2010,26,755,"경기도 남양주시 호평동 712 남양주호평6단지",검토필요,
11666,"보라","월산동",29155,A10024138,"반도 유보라 더 퍼스트 아파트",1996,2022,26,889,"광주광역시 남구 월산동 1065 반도 유보라 더 퍼스트 아파트",검토필요,
11742,"자양","자양동",11215,A14319012,"자양더샵스타시티",1981,2007,26,1177,"서울특별시 광진구 자양동 227-7 자양더샵스타시티",검토필요,
12172,"올림픽","내동",48123,A10027354,"올림픽파크한양수자인",1990,2016,26,482,"서울특별시 강동구 성내동 547-1 올림픽파크한양수자인",검토필요,
12650,"연지","연지동",52180,A61478901,"연지자이2차",1985,2011,26,1011,"부산광역시 부산진구 연지동 406 연지자이2차",검토필요,
11253,"관악","신림동",11620,A15101504,"관악산휴먼시아",1983,2008,25,2810,"서울특별시 관악구 신림동 1735 관악산휴먼시아",검토필요,
11865,"율전","율전동",41111,A44072412,"율전밤꽃마을뜨란채",1980,2005,25,1078,"경기도 수원장안구 율전동 546 율전밤꽃마을뜨란채",검토필요,
12416,"보성","보성읍 보성리",46780,A10026538,"보성센트럴뷰아파트",1991,2016,25,167,"전라남도 보성군 보성읍 보성리 93-1 보성센트럴뷰아파트",검토필요,
9550,"주공1","부곡동",47150,A62183326,"장유월산주공14단지",1980,2004,24,410,"경상남도 김해시 부곡동 805-4 장유월산주공14단지",검토필요,
11373,"문현","문현동",26290,A60804003,"문현동삼성아파트",1977,2001,24,916,"부산광역시 남구 문현동 395 문현동삼성아파트",검토필요,
12736,"구성","언남동",41463,A10024208,"힐스테이트 구성 아파트",1999,2023,24,699,"경기도 용인기흥구 언남동 315 힐스테이트 구성 아파트",검토필요,
5435,"대원","증포동",41500,A10025379,"이천증포 대원칸타빌아파트",1996,2019,23,346,"경기도 이천시 증포동 498 이천증포 대원칸타빌아파트",검토필요,
11211,"삼한","금사동",26410,A10027872,"금사삼한사랑채",1992,2015,23,264,"부산광역시 금정구 금사동 565 금사삼한사랑채",검토필요,
12009,"송현","송현동",27290,A40104007,"송현솔빛마을주공1차아파트",1980,2003,23,2711,"인천광역시 동구 송현동 154 송현솔빛마을주공1차아파트",검토필요,
12293,"용산","용산동",29110,A70492319,"용산롯데캐슬그랜드",1981,2004,23,1619,"대구광역시 달서구 용산동 230-10 용산롯데캐슬그랜드",검토필요,
12517,"부곡","부곡동",26410,A60970301,"부곡대우아파트",1976,1999,23,1270,"부산광역시 금정구 부곡동 244-7 부곡대우아파트",검토필요,
12548,"괴산","괴산읍 동부리",43760,A36780502,"괴산동부",1985,2008,23,310,"충청북도 괴산군 괴산읍 동부리 795 괴산동부",검토필요,
7829,"신동아","방배동",11650,A10025472,"신동아럭스빌아파트",1981,2003,22,55,"서울특별시 서초구 방배동 1026-14 신동아럭스빌아파트",검토필요,
8518,"수안","수안동",26260,A60782301,"수안동조성하이츠아파트",1976,1998,22,163,"부산광역시 동래구 수안동 32-3 수안동조성하이츠아파트",검토필요,
11421,"호계마젤란21","호계동",41173,A43108013,"호계마젤란21",2006,1984,22,190,"경기도 안양동안구 호계동 843-1 호계마젤란21",검토필요,
11506,"반도","온천동",26260,A60784207,"온천동반도보라스카이뷰",1984,2006,22,1149,"부산광역시 동래구 온천동 1412-1 온천동반도보라스카이뷰",검토필요,
12288,"부영","덕천동",26320,A61610001,"부영벽산파라빌",1983,2005,22,212,"부산광역시 북구 덕천동 372-1 부영벽산파라빌",검토필요,
12662,"삼성","봉천동",11620,A15105004,"보라매삼성",1974,1996,22,710,"서울특별시 관악구 봉천동 1698-1 보라매삼성",검토필요,
12792,"숭의","숭의동",28177,A10020903,"힐스테이트 숭의역",2003,2025,22,748,"인천광역시 미추홀구 숭의동 362-19 힐스테이트 숭의역",검토필요,
12475,"대신","중동",41192,A61284601,"해운대신시가지경동메르빌아파트",1984,2005,21,203,"부산광역시 해운대구 중동 718-6 해운대신시가지경동메르빌아파트",검토필요,
12753,"비산","비산동",41173,A43105004,"비산삼성래미안아파트",1982,2003,21,3806,"경기도 안양동안구 비산동 425 비산삼성래미안아파트",검토필요,
7006,"밀양삼문","삼문동",48270,A62775007,"밀양삼문휴먼시아",1989,2009,20,861,"경상남도 밀양시 삼문동 567 밀양삼문휴먼시아",검토필요,
9782,"청천","청천동",28237,A40376609,"청천푸르지오아파트",1978,1998,20,2257,"인천광역시 부평구 청천동 176 청천푸르지오아파트",검토필요,
10844,"석수","석수동",41171,A43070506,"석수e편한세상",1982,2002,20,1908,"경기도 안양만안구 석수동 182-2 석수e편한세상",검토필요,
3050,"한신","구로동",11530,A15205303,"구로한신휴플러스",1988,2007,19,498,"서울특별시 구로구 구로동 1280 구로한신휴플러스",검토필요,
7784,"경동","연산동",26470,A61108003,"연산경동메르빌",1994,2013,19,470,"부산광역시 연제구 연산동 2298 연산경동메르빌",검토필요,
10784,"교동","교동",31110,A21010002,"교동1주공아파트",1980,1999,19,1019,"강원특별자치도 강릉시 교동 1750 교동1주공아파트",검토필요,
11554,"벽산","목동",11470,A41383130,"벽산우남연리지",1991,2010,19,958,"경기도 파주시 목동동 667 벽산우남연리지",검토필요,
11774,"방주기픈샘","신월동",11470,A10020653,"방주기픈샘1차아파트",2004,2023,19,82,"서울특별시 양천구 신월동 1030- 방주기픈샘1차아파트",검토필요,
