ID,실거래명,동,실거래준공,현재매핑,K-apt준공,년도차이,네이버명,네이버준공,일치여부
10052,"동신","중화산동1가",1990,"중화산동 동신2차",1995,5,"",,X
10290,"스카이뷰","봉명동",2013,"스카이뷰시티",2018,5,"",,X
11207,"복사골","중동",1987,"중동복사골건영1차",1992,5,"",,X
11318,"현대","우동",1994,"칠곡현대아파트",1999,5,"",,X
11353,"한라무지개","용두동",1993,"한라무지개",1998,5,"",,X
11472,"정림","정림동",1988,"정림우성",1993,5,"",,X
11876,"한양아이클래스","용두동",2014,"청계한양아이클래스",2019,5,"",,X
11924,"동원텔","화정동",1998,"동원텔아파트",2003,5,"",,X
11966,"세원","읍내동",1990,"당진세원목화",1995,5,"",,X
12053,"동신","금동",1992,"코오롱동신아파트",1997,5,"",,X
12118,"두진","수곡동",1990,"수곡두진하트리움아파트",1995,5,"",,X
12246,"해주","원종동",1998,"부천해주2차아파트",2003,5,"",,X
12342,"대동","대평동1가",1975,"대동대교아파트",1980,5,"",,X
12348,"성동","중동",1995,"연성동아",2000,5,"",,X
12428,"합성","합성동",1982,"합성무학",1987,5,"",,X
12452,"장미","당동",1988,"장미8차",1993,5,"",,X
12597,"현대","신천동",1988,"성우현대",1993,5,"",,X
12663,"구산","구산동",2005,"구산주공3단지",2000,5,"",,X
12914,"신월","신월동",1993,"신월시영아파트",1988,5,"",,X
12992,"대림아파트","창동",2002,"논산대림아파트",1997,5,"",,X
345,"벽산","시흥동",2000,"관악벽산타운5단지",2004,4,"",,X
523,"이지더원","정관읍 모전리",2011,"정관이지더원3차아파트",2015,4,"",,X
2389,"공덕2삼성래미안","공덕동",2004,"신공덕2삼성래미안제2",2000,4,"",,X
3150,"연지자이","연지동",2007,"연지자이2차",2011,4,"",,X
3161,"세경","동산동",1988,"세경2차",1992,4,"",,X
3599,"한신휴플러스","주안동",2006,"관교한신휴플러스",2010,4,"",,X
3626,"하마비마을동부","언남동",1998,"하마비마을동부센트레빌",2002,4,"",,X
5488,"현대","정평동",1992,"경산현대타운",1996,4,"",,X
6747,"라이프","용해동",1990,"라이프2차",1994,4,"",,X
6866,"호반","매곡동",1991,"호반2차아파트",1995,4,"",,X
7507,"대명","석남동",2002,"석남 대명 아파트",1998,4,"",,X
7653,"프라지움","두정동",2013,"프라지움9차 아파트",2017,4,"",,X
7800,"현대3","월영동",1998,"월영현대3차",2002,4,"",,X
7827,"시티팰리스","갈마동",2015,"시티팰리스 8차",2019,4,"",,X
8082,"영창","송천동1가",1993,"송천동영창드림맨션",1997,4,"",,X
8768,"쌍용","풍동",2002,"덕풍쌍용아파트",1998,4,"",,X
